,answer,create_week,state,pct,Date,Series,Value,Candidate
0,Bennet,2019-02-25 00:00:00,South Carolina,0.0,2019-02-24 00:00:00,BLOOMBERG,0.0,Bennet
1,Bennet,2019-02-25 00:00:00,South Carolina,0.0,2019-02-24 00:00:00,CNBC,0.0,Bennet
2,Bennet,2019-02-25 00:00:00,South Carolina,0.0,2019-02-24 00:00:00,CNN,0.0115,Bennet
3,Bennet,2019-02-25 00:00:00,South Carolina,0.0,2019-02-24 00:00:00,CSPAN,0.0083,Bennet
4,Bennet,2019-02-25 00:00:00,South Carolina,0.0,2019-02-24 00:00:00,CSPAN2,0.0,Bennet
5,Bennet,2019-02-25 00:00:00,South Carolina,0.0,2019-02-24 00:00:00,CSPAN3,0.0,Bennet
6,Bennet,2019-02-25 00:00:00,South Carolina,0.0,2019-02-24 00:00:00,FBC,0.0,Bennet
7,Bennet,2019-02-25 00:00:00,South Carolina,0.0,2019-02-24 00:00:00,FOXNEWS,0.0,Bennet
8,Bennet,2019-02-25 00:00:00,South Carolina,0.0,2019-02-24 00:00:00,MSNBC,0.0,Bennet
9,Bennet,2019-03-11 00:00:00,Iowa,1.0,2019-03-10 00:00:00,BLOOMBERG,0.0,Bennet
10,Bennet,2019-03-11 00:00:00,Iowa,1.0,2019-03-10 00:00:00,CNBC,0.0,Bennet
11,Bennet,2019-03-11 00:00:00,Iowa,1.0,2019-03-10 00:00:00,CNN,0.0,Bennet
12,Bennet,2019-03-11 00:00:00,Iowa,1.0,2019-03-10 00:00:00,CSPAN,0.0,Bennet
13,Bennet,2019-03-11 00:00:00,Iowa,1.0,2019-03-10 00:00:00,CSPAN2,0.0,Bennet
14,Bennet,2019-03-11 00:00:00,Iowa,1.0,2019-03-10 00:00:00,CSPAN3,0.0128,Bennet
15,Bennet,2019-03-11 00:00:00,Iowa,1.0,2019-03-10 00:00:00,FBC,0.0,Bennet
16,Bennet,2019-03-11 00:00:00,Iowa,1.0,2019-03-10 00:00:00,FOXNEWS,0.0,Bennet
17,Bennet,2019-03-11 00:00:00,Iowa,1.0,2019-03-10 00:00:00,MSNBC,0.0,Bennet
18,Bennet,2019-03-18 00:00:00,-,0.0,2019-03-17 00:00:00,BLOOMBERG,0.0,Bennet
19,Bennet,2019-03-18 00:00:00,-,0.0,2019-03-17 00:00:00,CNBC,0.0,Bennet
20,Bennet,2019-03-18 00:00:00,-,0.0,2019-03-17 00:00:00,CNN,0.0,Bennet
21,Bennet,2019-03-18 00:00:00,-,0.0,2019-03-17 00:00:00,CSPAN,0.0054,Bennet
22,Bennet,2019-03-18 00:00:00,-,0.0,2019-03-17 00:00:00,CSPAN2,0.0,Bennet
23,Bennet,2019-03-18 00:00:00,-,0.0,2019-03-17 00:00:00,CSPAN3,0.0,Bennet
24,Bennet,2019-03-18 00:00:00,-,0.0,2019-03-17 00:00:00,FBC,0.0,Bennet
25,Bennet,2019-03-18 00:00:00,-,0.0,2019-03-17 00:00:00,FOXNEWS,0.0032,Bennet
26,Bennet,2019-03-18 00:00:00,-,0.0,2019-03-17 00:00:00,MSNBC,0.0183,Bennet
27,Bennet,2019-03-25 00:00:00,-,0.5,2019-03-24 00:00:00,BLOOMBERG,0.0,Bennet
28,Bennet,2019-03-25 00:00:00,-,0.5,2019-03-24 00:00:00,CNBC,0.0,Bennet
29,Bennet,2019-03-25 00:00:00,-,0.5,2019-03-24 00:00:00,CNN,0.0,Bennet
30,Bennet,2019-03-25 00:00:00,-,0.5,2019-03-24 00:00:00,CSPAN,0.0,Bennet
31,Bennet,2019-03-25 00:00:00,-,0.5,2019-03-24 00:00:00,CSPAN2,0.0,Bennet
32,Bennet,2019-03-25 00:00:00,-,0.5,2019-03-24 00:00:00,CSPAN3,0.0,Bennet
33,Bennet,2019-03-25 00:00:00,-,0.5,2019-03-24 00:00:00,FBC,0.0,Bennet
34,Bennet,2019-03-25 00:00:00,-,0.5,2019-03-24 00:00:00,FOXNEWS,0.0,Bennet
35,Bennet,2019-03-25 00:00:00,-,0.5,2019-03-24 00:00:00,MSNBC,0.006,Bennet
36,Bennet,2019-04-01 00:00:00,Alabama,0.0,2019-03-31 00:00:00,BLOOMBERG,0.0,Bennet
37,Bennet,2019-04-01 00:00:00,Alabama,0.0,2019-03-31 00:00:00,CNBC,0.0,Bennet
38,Bennet,2019-04-01 00:00:00,Alabama,0.0,2019-03-31 00:00:00,CNN,0.0064,Bennet
39,Bennet,2019-04-01 00:00:00,Alabama,0.0,2019-03-31 00:00:00,CSPAN,0.0,Bennet
40,Bennet,2019-04-01 00:00:00,Alabama,0.0,2019-03-31 00:00:00,CSPAN2,0.0,Bennet
41,Bennet,2019-04-01 00:00:00,Alabama,0.0,2019-03-31 00:00:00,CSPAN3,0.0195,Bennet
42,Bennet,2019-04-01 00:00:00,Alabama,0.0,2019-03-31 00:00:00,FBC,0.0,Bennet
43,Bennet,2019-04-01 00:00:00,Alabama,0.0,2019-03-31 00:00:00,FOXNEWS,0.0033,Bennet
44,Bennet,2019-04-01 00:00:00,Alabama,0.0,2019-03-31 00:00:00,MSNBC,0.0216,Bennet
45,Bennet,2019-04-01 00:00:00,Iowa,0.0,2019-03-31 00:00:00,BLOOMBERG,0.0,Bennet
46,Bennet,2019-04-01 00:00:00,Iowa,0.0,2019-03-31 00:00:00,CNBC,0.0,Bennet
47,Bennet,2019-04-01 00:00:00,Iowa,0.0,2019-03-31 00:00:00,CNN,0.0064,Bennet
48,Bennet,2019-04-01 00:00:00,Iowa,0.0,2019-03-31 00:00:00,CSPAN,0.0,Bennet
49,Bennet,2019-04-01 00:00:00,Iowa,0.0,2019-03-31 00:00:00,CSPAN2,0.0,Bennet
50,Bennet,2019-04-01 00:00:00,Iowa,0.0,2019-03-31 00:00:00,CSPAN3,0.0195,Bennet
51,Bennet,2019-04-01 00:00:00,Iowa,0.0,2019-03-31 00:00:00,FBC,0.0,Bennet
52,Bennet,2019-04-01 00:00:00,Iowa,0.0,2019-03-31 00:00:00,FOXNEWS,0.0033,Bennet
53,Bennet,2019-04-01 00:00:00,Iowa,0.0,2019-03-31 00:00:00,MSNBC,0.0216,Bennet
54,Bennet,2019-04-15 00:00:00,California,0.0,2019-04-14 00:00:00,BLOOMBERG,0.0,Bennet
55,Bennet,2019-04-15 00:00:00,California,0.0,2019-04-14 00:00:00,CNBC,0.0,Bennet
56,Bennet,2019-04-15 00:00:00,California,0.0,2019-04-14 00:00:00,CNN,0.0062,Bennet
57,Bennet,2019-04-15 00:00:00,California,0.0,2019-04-14 00:00:00,CSPAN,0.0,Bennet
58,Bennet,2019-04-15 00:00:00,California,0.0,2019-04-14 00:00:00,CSPAN2,0.0,Bennet
59,Bennet,2019-04-15 00:00:00,California,0.0,2019-04-14 00:00:00,CSPAN3,0.0038,Bennet
60,Bennet,2019-04-15 00:00:00,California,0.0,2019-04-14 00:00:00,FBC,0.0,Bennet
61,Bennet,2019-04-15 00:00:00,California,0.0,2019-04-14 00:00:00,FOXNEWS,0.0,Bennet
62,Bennet,2019-04-15 00:00:00,California,0.0,2019-04-14 00:00:00,MSNBC,0.0,Bennet
63,Bennet,2019-04-15 00:00:00,Iowa,0.0,2019-04-14 00:00:00,BLOOMBERG,0.0,Bennet
64,Bennet,2019-04-15 00:00:00,Iowa,0.0,2019-04-14 00:00:00,CNBC,0.0,Bennet
65,Bennet,2019-04-15 00:00:00,Iowa,0.0,2019-04-14 00:00:00,CNN,0.0062,Bennet
66,Bennet,2019-04-15 00:00:00,Iowa,0.0,2019-04-14 00:00:00,CSPAN,0.0,Bennet
67,Bennet,2019-04-15 00:00:00,Iowa,0.0,2019-04-14 00:00:00,CSPAN2,0.0,Bennet
68,Bennet,2019-04-15 00:00:00,Iowa,0.0,2019-04-14 00:00:00,CSPAN3,0.0038,Bennet
69,Bennet,2019-04-15 00:00:00,Iowa,0.0,2019-04-14 00:00:00,FBC,0.0,Bennet
70,Bennet,2019-04-15 00:00:00,Iowa,0.0,2019-04-14 00:00:00,FOXNEWS,0.0,Bennet
71,Bennet,2019-04-15 00:00:00,Iowa,0.0,2019-04-14 00:00:00,MSNBC,0.0,Bennet
72,Bennet,2019-04-15 00:00:00,South Carolina,0.0,2019-04-14 00:00:00,BLOOMBERG,0.0,Bennet
73,Bennet,2019-04-15 00:00:00,South Carolina,0.0,2019-04-14 00:00:00,CNBC,0.0,Bennet
74,Bennet,2019-04-15 00:00:00,South Carolina,0.0,2019-04-14 00:00:00,CNN,0.0062,Bennet
75,Bennet,2019-04-15 00:00:00,South Carolina,0.0,2019-04-14 00:00:00,CSPAN,0.0,Bennet
76,Bennet,2019-04-15 00:00:00,South Carolina,0.0,2019-04-14 00:00:00,CSPAN2,0.0,Bennet
77,Bennet,2019-04-15 00:00:00,South Carolina,0.0,2019-04-14 00:00:00,CSPAN3,0.0038,Bennet
78,Bennet,2019-04-15 00:00:00,South Carolina,0.0,2019-04-14 00:00:00,FBC,0.0,Bennet
79,Bennet,2019-04-15 00:00:00,South Carolina,0.0,2019-04-14 00:00:00,FOXNEWS,0.0,Bennet
80,Bennet,2019-04-15 00:00:00,South Carolina,0.0,2019-04-14 00:00:00,MSNBC,0.0,Bennet
81,Bennet,2019-04-22 00:00:00,-,0.0,2019-04-21 00:00:00,BLOOMBERG,0.0,Bennet
82,Bennet,2019-04-22 00:00:00,-,0.0,2019-04-21 00:00:00,CNBC,0.0,Bennet
83,Bennet,2019-04-22 00:00:00,-,0.0,2019-04-21 00:00:00,CNN,0.0,Bennet
84,Bennet,2019-04-22 00:00:00,-,0.0,2019-04-21 00:00:00,CSPAN,0.0137,Bennet
85,Bennet,2019-04-22 00:00:00,-,0.0,2019-04-21 00:00:00,CSPAN2,0.0,Bennet
86,Bennet,2019-04-22 00:00:00,-,0.0,2019-04-21 00:00:00,CSPAN3,0.0123,Bennet
87,Bennet,2019-04-22 00:00:00,-,0.0,2019-04-21 00:00:00,FBC,0.0,Bennet
88,Bennet,2019-04-22 00:00:00,-,0.0,2019-04-21 00:00:00,FOXNEWS,0.0,Bennet
89,Bennet,2019-04-22 00:00:00,-,0.0,2019-04-21 00:00:00,MSNBC,0.0,Bennet
90,Bennet,2019-04-29 00:00:00,-,0.0,2019-04-28 00:00:00,BLOOMBERG,0.0049,Bennet
91,Bennet,2019-04-29 00:00:00,-,0.0,2019-04-28 00:00:00,CNBC,0.0072,Bennet
92,Bennet,2019-04-29 00:00:00,-,0.0,2019-04-28 00:00:00,CNN,0.0063,Bennet
93,Bennet,2019-04-29 00:00:00,-,0.0,2019-04-28 00:00:00,CSPAN,0.0056,Bennet
94,Bennet,2019-04-29 00:00:00,-,0.0,2019-04-28 00:00:00,CSPAN2,0.0,Bennet
95,Bennet,2019-04-29 00:00:00,-,0.0,2019-04-28 00:00:00,CSPAN3,0.0037,Bennet
96,Bennet,2019-04-29 00:00:00,-,0.0,2019-04-28 00:00:00,FBC,0.0,Bennet
97,Bennet,2019-04-29 00:00:00,-,0.0,2019-04-28 00:00:00,FOXNEWS,0.0294,Bennet
98,Bennet,2019-04-29 00:00:00,-,0.0,2019-04-28 00:00:00,MSNBC,0.16699999999999998,Bennet
